N,element_type,ndof,uy,ux,fy_sum,ref,error_pct
2,Q4,18,11.84518,-4.09065,1.00000,23.96,-50.5627
4,Q4,50,18.29917,-7.66148,1.00000,23.96,-23.6262
8,Q4,162,22.07918,-9.71263,1.00000,23.96,-7.8498
16,Q4,578,23.43041,-10.42171,1.00000,23.96,-2.2103
32,Q4,2178,23.81763,-10.61888,1.00000,23.96,-0.5942
2,Q9,50,23.28866,-10.36216,1.00000,23.96,-2.8019
4,Q9,162,23.83975,-10.64043,1.00000,23.96,-0.5019
8,Q9,578,23.92539,-10.67253,1.00000,23.96,-0.1444
16,Q9,2178,23.94941,-10.68508,1.00000,23.96,-0.0442
32,Q9,8450,23.96077,-10.69134,1.00000,23.96,0.0032
